"","t","mean_nsae_h2o","n","na","percent_complete"
"1",2020-05-05 03:00:00,2.26162971373333,24,13,0.458333333333333
"2",2020-05-05 15:00:00,60.2465529611976,24,6,0.75
"3",2020-05-06 03:00:00,6.76231075217754,24,18,0.25
"4",2020-05-06 15:00:00,65.9131331757453,24,7,0.708333333333333
"5",2020-05-07 03:00:00,4.41272060417394,24,13,0.458333333333333
"6",2020-05-07 15:00:00,31.6028718716297,24,2,0.916666666666667
"7",2020-05-08 03:00:00,3.59226242631433,24,12,0.5
"8",2020-05-08 15:00:00,56.3554935337989,24,9,0.625
"9",2020-05-09 03:00:00,5.77590908090902,24,13,0.458333333333333
"10",2020-05-09 15:00:00,53.9328906010013,24,5,0.791666666666667
"11",2020-05-10 03:00:00,7.9860940810275,24,10,0.583333333333333
"12",2020-05-10 15:00:00,60.5240474129716,24,6,0.75
"13",2020-05-11 03:00:00,9.03510614186142,24,14,0.416666666666667
"14",2020-05-11 15:00:00,65.7656845711544,24,7,0.708333333333333
"15",2020-05-12 03:00:00,9.80885274188696,24,5,0.791666666666667
"16",2020-05-12 15:00:00,54.4199466752553,24,5,0.791666666666667
"17",2020-05-13 03:00:00,-1.73604251976256,24,11,0.541666666666667
"18",2020-05-13 15:00:00,25.6393181190943,24,8,0.666666666666667
"19",2020-05-14 03:00:00,-0.261436259090208,24,8,0.666666666666667
"20",2020-05-14 15:00:00,28.0154698976148,24,8,0.666666666666667
"21",2020-05-15 03:00:00,4.29214133401853,24,11,0.541666666666667
"22",2020-05-15 15:00:00,26.2571940518622,24,6,0.75
"23",2020-05-16 03:00:00,11.0299265809393,24,13,0.458333333333333
"24",2020-05-16 15:00:00,48.5185050210784,24,10,0.583333333333333
"25",2020-05-17 03:00:00,9.21059048272503,24,14,0.416666666666667
"26",2020-05-17 15:00:00,42.082440900931,24,11,0.541666666666667
"27",2020-05-18 03:00:00,6.78922477713935,24,7,0.708333333333333
"28",2020-05-18 15:00:00,29.8568906270107,24,6,0.75
"29",2020-05-19 03:00:00,9.9227148836231,24,7,0.708333333333333
"30",2020-05-19 15:00:00,31.7677995821225,24,7,0.708333333333333
"31",2020-05-20 03:00:00,3.85505781800949,24,6,0.75
"32",2020-05-20 15:00:00,48.2432694223694,24,8,0.666666666666667
"33",2020-05-21 03:00:00,15.0521531923161,24,9,0.625
"34",2020-05-21 15:00:00,63.6007704492221,24,8,0.666666666666667
"35",2020-05-22 03:00:00,3.36289017153056,24,11,0.541666666666667
"36",2020-05-22 15:00:00,41.2691148912786,24,15,0.375
"37",2020-05-23 03:00:00,NA,24,24,0
"38",2020-05-23 15:00:00,NA,24,24,0
"39",2020-05-24 03:00:00,NA,24,24,0
"40",2020-05-24 15:00:00,NA,24,24,0
"41",2020-05-25 03:00:00,NA,24,24,0
"42",2020-05-25 15:00:00,NA,24,24,0
"43",2020-05-26 03:00:00,NA,24,24,0
"44",2020-05-26 15:00:00,31.5802327706441,24,18,0.25
"45",2020-05-27 03:00:00,4.90286521224401,24,13,0.458333333333333
"46",2020-05-27 15:00:00,27.4137737868886,24,7,0.708333333333333
"47",2020-05-28 03:00:00,5.44410309369966,24,18,0.25
"48",2020-05-28 15:00:00,34.9594757941035,24,5,0.791666666666667
"49",2020-05-29 03:00:00,7.8087212460227,24,16,0.333333333333333
