"","t","bulk_precip","n"
"1",2020-05-01 00:00:00,0,143
"2",2020-05-01 12:00:00,0,143
"3",2020-05-02 00:00:00,0,144
"4",2020-05-02 12:00:00,0,142
"5",2020-05-03 00:00:00,0,144
"6",2020-05-03 12:00:00,0,138
"7",2020-05-04 00:00:00,0,144
"8",2020-05-04 12:00:00,0,144
"9",2020-05-05 00:00:00,0,143
"10",2020-05-05 12:00:00,0,144
"11",2020-05-06 00:00:00,0,144
"12",2020-05-06 12:00:00,0,144
"13",2020-05-07 00:00:00,0,144
"14",2020-05-07 12:00:00,0,144
"15",2020-05-08 00:00:00,0,142
"16",2020-05-08 12:00:00,0,144
"17",2020-05-09 00:00:00,0,144
"18",2020-05-09 12:00:00,0,144
"19",2020-05-10 00:00:00,0,144
"20",2020-05-10 12:00:00,0,144
"21",2020-05-11 00:00:00,0,144
"22",2020-05-11 12:00:00,0,144
"23",2020-05-12 00:00:00,0,142
"24",2020-05-12 12:00:00,0,144
"25",2020-05-13 00:00:00,0,143
"26",2020-05-13 12:00:00,0,143
"27",2020-05-14 00:00:00,0,144
"28",2020-05-14 12:00:00,0,144
"29",2020-05-15 00:00:00,0,144
"30",2020-05-15 12:00:00,0,143
"31",2020-05-16 00:00:00,0,143
"32",2020-05-16 12:00:00,0,143
"33",2020-05-17 00:00:00,0,144
"34",2020-05-17 12:00:00,0,144
"35",2020-05-18 00:00:00,0,144
"36",2020-05-18 12:00:00,0,144
"37",2020-05-19 00:00:00,0,144
"38",2020-05-19 12:00:00,0,143
"39",2020-05-20 00:00:00,0,144
"40",2020-05-20 12:00:00,0.22,141
"41",2020-05-21 00:00:00,0,144
"42",2020-05-21 12:00:00,0,144
"43",2020-05-22 00:00:00,0,143
"44",2020-05-22 12:00:00,0,144
"45",2020-05-23 00:00:00,0,144
"46",2020-05-23 12:00:00,0,124
"47",2020-05-24 00:00:00,0,144
"48",2020-05-24 12:00:00,0,130
"49",2020-05-25 00:00:00,0,144
"50",2020-05-25 12:00:00,0,144
"51",2020-05-26 00:00:00,0,143
"52",2020-05-26 12:00:00,0,142
"53",2020-05-27 00:00:00,0,142
"54",2020-05-27 12:00:00,0,138
"55",2020-05-28 00:00:00,0,142
"56",2020-05-28 12:00:00,0,144
"57",2020-05-29 00:00:00,0,144
"58",2020-05-29 12:00:00,0,141
"59",2020-05-30 00:00:00,0,144
"60",2020-05-30 12:00:00,0,140
"61",2020-05-31 00:00:00,0,143
"62",2020-05-31 12:00:00,0,141
"63",2020-06-01 00:00:00,0,144
"64",2020-06-01 12:00:00,0,144
"65",2020-06-02 00:00:00,0,142
"66",2020-06-02 12:00:00,0,144
"67",2020-06-03 00:00:00,0,144
"68",2020-06-03 12:00:00,0,141
"69",2020-06-04 00:00:00,0,143
"70",2020-06-04 12:00:00,0,139
"71",2020-06-05 00:00:00,0,143
"72",2020-06-05 12:00:00,0,140
"73",2020-06-06 00:00:00,0,142
"74",2020-06-06 12:00:00,0,68
"75",2020-06-07 00:00:00,0,101
"76",2020-06-07 12:00:00,0.59,122
"77",2020-06-08 00:00:00,0,143
"78",2020-06-08 12:00:00,0,141
"79",2020-06-09 00:00:00,0,143
"80",2020-06-09 12:00:00,0,142
"81",2020-06-10 00:00:00,0,144
"82",2020-06-10 12:00:00,0,141
"83",2020-06-11 00:00:00,0,140
"84",2020-06-11 12:00:00,0,143
"85",2020-06-12 00:00:00,0,144
"86",2020-06-12 12:00:00,0,143
"87",2020-06-13 00:00:00,0,144
"88",2020-06-13 12:00:00,0,144
"89",2020-06-14 00:00:00,0,144
"90",2020-06-14 12:00:00,0,144
"91",2020-06-15 00:00:00,0,144
"92",2020-06-15 12:00:00,0,142
"93",2020-06-16 00:00:00,0,144
"94",2020-06-16 12:00:00,0,141
"95",2020-06-17 00:00:00,0,143
"96",2020-06-17 12:00:00,0,142
"97",2020-06-18 00:00:00,0,144
"98",2020-06-18 12:00:00,0,143
"99",2020-06-19 00:00:00,0,144
"100",2020-06-19 12:00:00,0,140
"101",2020-06-20 00:00:00,0,144
"102",2020-06-20 12:00:00,0,144
"103",2020-06-21 00:00:00,0,144
"104",2020-06-21 12:00:00,0,139
"105",2020-06-22 00:00:00,0,144
"106",2020-06-22 12:00:00,0,144
"107",2020-06-23 00:00:00,0,144
"108",2020-06-23 12:00:00,0,144
"109",2020-06-24 00:00:00,0,144
"110",2020-06-24 12:00:00,0,143
"111",2020-06-25 00:00:00,0,144
"112",2020-06-25 12:00:00,0,143
"113",2020-06-26 00:00:00,0,144
"114",2020-06-26 12:00:00,0,143
"115",2020-06-27 00:00:00,0,144
"116",2020-06-27 12:00:00,0,143
"117",2020-06-28 00:00:00,0,143
"118",2020-06-28 12:00:00,0,139
"119",2020-06-29 00:00:00,0.22,144
"120",2020-06-29 12:00:00,0,139
"121",2020-06-30 00:00:00,0,141
"122",2020-06-30 12:00:00,0,139
"123",2020-07-01 00:00:00,0,141
"124",2020-07-01 12:00:00,0,144
"125",2020-07-02 00:00:00,0,142
"126",2020-07-02 12:00:00,0,144
"127",2020-07-03 00:00:00,0,144
"128",2020-07-03 12:00:00,0,144
"129",2020-07-04 00:00:00,0,142
"130",2020-07-04 12:00:00,0,144
"131",2020-07-05 00:00:00,0,144
"132",2020-07-05 12:00:00,0,144
"133",2020-07-06 00:00:00,0,144
"134",2020-07-06 12:00:00,0,144
"135",2020-07-07 00:00:00,0,144
"136",2020-07-07 12:00:00,0,144
"137",2020-07-08 00:00:00,0,143
"138",2020-07-08 12:00:00,0,144
"139",2020-07-09 00:00:00,0,144
"140",2020-07-09 12:00:00,0,144
"141",2020-07-10 00:00:00,0,144
"142",2020-07-10 12:00:00,0,144
"143",2020-07-11 00:00:00,0,144
"144",2020-07-11 12:00:00,0,144
"145",2020-07-12 00:00:00,0,144
"146",2020-07-12 12:00:00,0,141
"147",2020-07-13 00:00:00,0,144
"148",2020-07-13 12:00:00,0,143
"149",2020-07-14 00:00:00,0,144
"150",2020-07-14 12:00:00,0,144
"151",2020-07-15 00:00:00,0,144
"152",2020-07-15 12:00:00,0,144
"153",2020-07-16 00:00:00,0,144
"154",2020-07-16 12:00:00,0,144
"155",2020-07-17 00:00:00,0,144
"156",2020-07-17 12:00:00,0,144
"157",2020-07-18 00:00:00,0,144
"158",2020-07-18 12:00:00,0,144
"159",2020-07-19 00:00:00,0,144
"160",2020-07-19 12:00:00,0,142
"161",2020-07-20 00:00:00,0,144
"162",2020-07-20 12:00:00,0,143
"163",2020-07-21 00:00:00,0,144
"164",2020-07-21 12:00:00,0,143
"165",2020-07-22 00:00:00,0,144
"166",2020-07-22 12:00:00,0,144
