"","t","mean_rh","n","na","percent_complete"
"1",2020-05-05 03:00:00,45.2765217391304,23,0,1
"2",2020-05-05 15:00:00,12.5195833333333,24,0,1
"3",2020-05-06 03:00:00,31.7495833333333,24,0,1
"4",2020-05-06 15:00:00,14.0079166666667,24,0,1
"5",2020-05-07 03:00:00,38.94625,24,0,1
"6",2020-05-07 15:00:00,18.8704166666667,24,0,1
"7",2020-05-08 03:00:00,37.5433333333333,24,0,1
"8",2020-05-08 15:00:00,13.0508333333333,24,0,1
"9",2020-05-09 03:00:00,36.4870833333333,24,0,1
"10",2020-05-09 15:00:00,16.0570833333333,24,0,1
"11",2020-05-10 03:00:00,32.19,24,0,1
"12",2020-05-10 15:00:00,13.6883333333333,24,0,1
"13",2020-05-11 03:00:00,44.345,24,0,1
"14",2020-05-11 15:00:00,15.4016666666667,24,0,1
"15",2020-05-12 03:00:00,14.5416666666667,24,0,1
"16",2020-05-12 15:00:00,13.9108333333333,24,0,1
"17",2020-05-13 03:00:00,49.61,24,0,1
"18",2020-05-13 15:00:00,35.6608333333333,24,0,1
"19",2020-05-14 03:00:00,51.3966666666667,24,0,1
"20",2020-05-14 15:00:00,34.845,24,0,1
"21",2020-05-15 03:00:00,51.0025,24,0,1
"22",2020-05-15 15:00:00,33.8741666666667,24,0,1
"23",2020-05-16 03:00:00,47.9108333333333,24,0,1
"24",2020-05-16 15:00:00,24.00875,24,0,1
"25",2020-05-17 03:00:00,44.97125,24,0,1
"26",2020-05-17 15:00:00,17.4683333333333,24,0,1
"27",2020-05-18 03:00:00,23.7245833333333,24,0,1
"28",2020-05-18 15:00:00,18.3395833333333,24,0,1
"29",2020-05-19 03:00:00,20.0679166666667,24,0,1
"30",2020-05-19 15:00:00,17.75625,24,0,1
"31",2020-05-20 03:00:00,33.805,24,0,1
"32",2020-05-20 15:00:00,39.7695833333333,24,0,1
"33",2020-05-21 03:00:00,55.38,24,0,1
"34",2020-05-21 15:00:00,21.4775,24,0,1
"35",2020-05-22 03:00:00,29.7725,24,0,1
"36",2020-05-22 15:00:00,29.7270833333333,24,0,1
"37",2020-05-23 03:00:00,85.3283333333333,24,0,1
"38",2020-05-23 15:00:00,40.3080952380952,21,0,1
"39",2020-05-24 03:00:00,73.6916666666667,24,0,1
"40",2020-05-24 15:00:00,33.3345833333333,24,0,1
"41",2020-05-25 03:00:00,57.0879166666667,24,0,1
"42",2020-05-25 15:00:00,20.7820833333333,24,0,1
"43",2020-05-26 03:00:00,43.3570833333333,24,0,1
"44",2020-05-26 15:00:00,19.1083333333333,24,0,1
"45",2020-05-27 03:00:00,43.0754166666667,24,0,1
"46",2020-05-27 15:00:00,29.3379166666667,24,0,1
"47",2020-05-28 03:00:00,54.9458333333333,24,0,1
"48",2020-05-28 15:00:00,22.6729166666667,24,0,1
"49",2020-05-29 03:00:00,47.4458333333333,24,0,1
"50",2020-05-29 15:00:00,19.28875,24,0,1
"51",2020-05-30 03:00:00,27.9445833333333,24,0,1
"52",2020-05-30 15:00:00,15.5075,24,0,1
"53",2020-05-31 03:00:00,29.3995833333333,24,0,1
"54",2020-05-31 15:00:00,10.2729166666667,24,0,1
"55",2020-06-01 03:00:00,14.8020833333333,24,0,1
"56",2020-06-01 15:00:00,8.89125,24,0,1
"57",2020-06-02 03:00:00,36.0395833333333,24,0,1
"58",2020-06-02 15:00:00,19.015,24,0,1
"59",2020-06-03 03:00:00,37.995,24,0,1
"60",2020-06-03 15:00:00,13.8108333333333,24,0,1
"61",2020-06-04 03:00:00,24.6316666666667,24,0,1
"62",2020-06-04 15:00:00,11.975,24,0,1
