"","t","mean_temp","n","na","percent_complete"
"1",2020-05-05 03:00:00,10.2764869565217,115,0,1
"2",2020-05-05 15:00:00,22.8612416666667,120,0,1
"3",2020-05-06 03:00:00,12.9790666666667,120,0,1
"4",2020-05-06 15:00:00,23.6596833333333,120,0,1
"5",2020-05-07 03:00:00,13.1353666666667,120,0,1
"6",2020-05-07 15:00:00,21.4318833333333,120,0,1
"7",2020-05-08 03:00:00,9.890575,120,0,1
"8",2020-05-08 15:00:00,22.3474,120,0,1
"9",2020-05-09 03:00:00,12.245025,120,0,1
"10",2020-05-09 15:00:00,24.3610916666667,120,0,1
"11",2020-05-10 03:00:00,13.445725,120,0,1
"12",2020-05-10 15:00:00,23.8305833333333,120,0,1
"13",2020-05-11 03:00:00,16.78195,120,0,1
"14",2020-05-11 15:00:00,24.3668333333333,120,0,1
"15",2020-05-12 03:00:00,16.2509583333333,120,0,1
"16",2020-05-12 15:00:00,24.014025,120,0,1
"17",2020-05-13 03:00:00,16.1521166666667,120,0,1
"18",2020-05-13 15:00:00,21.622525,120,0,1
"19",2020-05-14 03:00:00,13.9024083333333,120,0,1
"20",2020-05-14 15:00:00,21.705625,120,0,1
"21",2020-05-15 03:00:00,14.6020916666667,120,0,1
"22",2020-05-15 15:00:00,21.3924083333333,120,0,1
"23",2020-05-16 03:00:00,13.6865166666667,120,0,1
"24",2020-05-16 15:00:00,22.971325,120,0,1
"25",2020-05-17 03:00:00,14.2619916666667,120,0,1
"26",2020-05-17 15:00:00,22.205675,120,0,1
"27",2020-05-18 03:00:00,18.5765083333333,120,0,1
"28",2020-05-18 15:00:00,22.1877666666667,120,0,1
"29",2020-05-19 03:00:00,17.0232083333333,120,0,1
"30",2020-05-19 15:00:00,21.3591833333333,120,0,1
"31",2020-05-20 03:00:00,12.625775,120,0,1
"32",2020-05-20 15:00:00,18.1093416666667,120,0,1
"33",2020-05-21 03:00:00,11.8998416666667,120,0,1
"34",2020-05-21 15:00:00,22.5106833333333,120,0,1
"35",2020-05-22 03:00:00,13.9955333333333,120,0,1
"36",2020-05-22 15:00:00,19.7671333333333,120,0,1
"37",2020-05-23 03:00:00,9.46625,120,0,1
"38",2020-05-23 15:00:00,15.9705094339623,106,0,1
"39",2020-05-24 03:00:00,7.98070833333333,120,0,1
"40",2020-05-24 15:00:00,16.6502416666667,120,0,1
"41",2020-05-25 03:00:00,9.35580833333333,120,0,1
"42",2020-05-25 15:00:00,22.0574416666667,120,0,1
"43",2020-05-26 03:00:00,13.22995,120,0,1
"44",2020-05-26 15:00:00,24.71025,120,0,1
"45",2020-05-27 03:00:00,17.027,120,0,1
"46",2020-05-27 15:00:00,25.827675,120,0,1
"47",2020-05-28 03:00:00,17.2049915254237,118,0,1
"48",2020-05-28 15:00:00,28.607875,120,0,1
"49",2020-05-29 03:00:00,19.7870083333333,120,0,1
"50",2020-05-29 15:00:00,27.3266083333333,120,0,1
"51",2020-05-30 03:00:00,20.6508083333333,120,0,1
"52",2020-05-30 15:00:00,27.6144583333333,120,0,1
"53",2020-05-31 03:00:00,20.2300916666667,120,0,1
"54",2020-05-31 15:00:00,28.1139833333333,120,0,1
"55",2020-06-01 03:00:00,21.6807916666667,120,0,1
"56",2020-06-01 15:00:00,28.4333333333333,120,0,1
"57",2020-06-02 03:00:00,20.49815,120,0,1
"58",2020-06-02 15:00:00,29.9533333333333,120,0,1
"59",2020-06-03 03:00:00,19.93505,120,0,1
"60",2020-06-03 15:00:00,31.6091583333333,120,0,1
"61",2020-06-04 03:00:00,21.4858416666667,120,0,1
"62",2020-06-04 15:00:00,30.5853416666667,120,0,1
"63",2020-06-05 03:00:00,19.9606083333333,120,0,1
"64",2020-06-05 15:00:00,30.0637083333333,120,0,1
"65",2020-06-06 03:00:00,23.4753714285714,105,0,1
"66",2020-06-06 15:00:00,17.01075,4,0,1
"67",2020-06-07 03:00:00,14.0736095238095,105,0,1
"68",2020-06-07 15:00:00,15.329375,120,0,1
"69",2020-06-08 03:00:00,9.91285833333333,120,0,1
"70",2020-06-08 15:00:00,14.3666,120,0,1
"71",2020-06-09 03:00:00,8.40883333333333,120,0,1
"72",2020-06-09 15:00:00,21.581575,120,0,1
"73",2020-06-10 03:00:00,13.350325,120,0,1
"74",2020-06-10 15:00:00,23.6857166666667,120,0,1
"75",2020-06-11 03:00:00,15.1628833333333,120,0,1
"76",2020-06-11 15:00:00,26.850825,120,0,1
"77",2020-06-12 03:00:00,17.8412666666667,120,0,1
"78",2020-06-12 15:00:00,27.4228583333333,120,0,1
"79",2020-06-13 03:00:00,20.7338166666667,120,0,1
"80",2020-06-13 15:00:00,22.9314166666667,120,0,1
"81",2020-06-14 03:00:00,16.1001916666667,120,0,1
"82",2020-06-14 15:00:00,26.4100333333333,120,0,1
"83",2020-06-15 03:00:00,17.1157,120,0,1
"84",2020-06-15 15:00:00,26.890225,120,0,1
"85",2020-06-16 03:00:00,20.8623833333333,120,0,1
"86",2020-06-16 15:00:00,26.3728916666667,120,0,1
"87",2020-06-17 03:00:00,16.8921083333333,120,0,1
"88",2020-06-17 15:00:00,24.36215,120,0,1
"89",2020-06-18 03:00:00,14.805525,120,0,1
"90",2020-06-18 15:00:00,25.4431416666667,120,0,1
"91",2020-06-19 03:00:00,14.719,120,0,1
"92",2020-06-19 15:00:00,27.8325333333333,120,0,1
"93",2020-06-20 03:00:00,16.9353083333333,120,0,1
"94",2020-06-20 15:00:00,28.394075,120,0,1
"95",2020-06-21 03:00:00,19.288875,120,0,1
"96",2020-06-21 15:00:00,31.128075,120,0,1
"97",2020-06-22 03:00:00,21.5800333333333,120,0,1
"98",2020-06-22 15:00:00,32.3620083333333,120,0,1
"99",2020-06-23 03:00:00,19.9029333333333,120,0,1
"100",2020-06-23 15:00:00,33.4742,120,0,1
"101",2020-06-24 03:00:00,20.595725,120,0,1
"102",2020-06-24 15:00:00,33.689025,120,0,1
"103",2020-06-25 03:00:00,23.53995,120,0,1
"104",2020-06-25 15:00:00,32.3145833333333,120,0,1
"105",2020-06-26 03:00:00,21.13545,120,0,1
"106",2020-06-26 15:00:00,33.2505833333333,120,0,1
"107",2020-06-27 03:00:00,21.2964416666667,120,0,1
"108",2020-06-27 15:00:00,33.9592833333333,120,0,1
"109",2020-06-28 03:00:00,24.9686166666667,120,0,1
"110",2020-06-28 15:00:00,26.4568,120,0,1
"111",2020-06-29 03:00:00,15.2919416666667,120,0,1
"112",2020-06-29 15:00:00,20.494875,120,0,1
"113",2020-06-30 03:00:00,14.41275,120,0,1
"114",2020-06-30 15:00:00,21.2749416666667,120,0,1
"115",2020-07-01 03:00:00,14.5080833333333,120,0,1
